# step, loss function, Y0, learning rate, running time
6.500000000000000000e+01, 6.189396286294393121e+02, 4.204799618292677366e+01, 1.000000000000000000e+00, 6.806459975242614746e+01
6.600000000000000000e+01, 9.457944643384194023e+02, 4.261404669888445085e+01, 1.000000000000000000e+00, 6.869848990440368652e+01
6.700000000000000000e+01, 7.707708771189542176e+02, 4.316982718041114708e+01, 1.000000000000000000e+00, 6.934385275840759277e+01
6.800000000000000000e+01, 5.783512629759961783e+02, 4.372631892056967473e+01, 1.000000000000000000e+00, 6.998481369018554688e+01
6.900000000000000000e+01, 7.934136764267279887e+02, 4.427470968927554651e+01, 1.000000000000000000e+00, 7.061455583572387695e+01
7.000000000000000000e+01, 6.047620511627236510e+02, 4.482649108556759643e+01, 1.000000000000000000e+00, 7.124962472915649414e+01
7.100000000000000000e+01, 7.266013532335744003e+02, 4.535335853285491936e+01, 1.000000000000000000e+00, 7.187805390357971191e+01
7.200000000000000000e+01, 7.379828967406407401e+02, 4.586298545643790447e+01, 1.000000000000000000e+00, 7.250749373435974121e+01
7.300000000000000000e+01, 6.674395163085425793e+02, 4.635951070135676133e+01, 1.000000000000000000e+00, 7.314288783073425293e+01
7.400000000000000000e+01, 5.828303063772056021e+02, 4.684696712909570948e+01, 1.000000000000000000e+00, 7.376437497138977051e+01
7.500000000000000000e+01, 6.478825405393273513e+02, 4.730291608089045496e+01, 1.000000000000000000e+00, 7.438955283164978027e+01
7.600000000000000000e+01, 8.808439316003762087e+02, 4.774836550694453052e+01, 1.000000000000000000e+00, 7.501183986663818359e+01
7.700000000000000000e+01, 8.272734466557487849e+02, 4.818268885137404567e+01, 1.000000000000000000e+00, 7.563529276847839355e+01
7.800000000000000000e+01, 5.919034355479418537e+02, 4.861013078945466503e+01, 1.000000000000000000e+00, 7.625822687149047852e+01
7.900000000000000000e+01, 6.304295175444310644e+02, 4.902662173264224776e+01, 1.000000000000000000e+00, 7.687974667549133301e+01
8.000000000000000000e+01, 7.473561697862940036e+02, 4.943093916050533210e+01, 1.000000000000000000e+00, 7.750092077255249023e+01
8.100000000000000000e+01, 7.493970840340571158e+02, 4.983166036201787108e+01, 1.000000000000000000e+00, 7.815539669990539551e+01
8.200000000000000000e+01, 4.951018297425861192e+02, 5.023001092319032779e+01, 1.000000000000000000e+00, 7.878677773475646973e+01
